ax,ay,az,gx,gy,gz
0.06,0.21,1.0,0.77,2.69,-1.35
0.06,0.2,1.0,0.49,2.65,-1.45
0.06,0.2,1.0,0.49,2.65,-1.45
0.06,0.2,1.0,0.16,2.5,-1.49
0.07,0.19,0.99,-0.22,2.3,-1.43
0.07,0.19,0.99,-0.49,2.07,-1.39
0.07,0.19,1.0,-0.49,2.01,-1.4
0.07,0.18,1.0,-0.24,2.1,-1.46
0.07,0.18,1.0,-0.24,2.1,-1.46
0.07,0.19,1.0,0.13,2.23,-1.51
0.07,0.19,1.0,0.63,2.41,-1.56
0.07,0.2,1.0,1.18,2.66,-1.54
0.06,0.21,1.0,1.68,2.91,-1.46
0.06,0.22,1.0,2.05,3.01,-1.36
0.06,0.22,1.0,2.05,3.01,-1.36
0.06,0.22,1.0,2.22,3.0,-1.29
0.06,0.23,1.01,2.19,2.89,-1.25
0.06,0.23,1.01,1.97,2.74,-1.24
0.06,0.22,1.01,1.59,2.59,-1.29
0.06,0.21,1.01,1.11,2.5,-1.37
0.06,0.21,1.01,1.11,2.5,-1.37
0.07,0.21,1.0,0.61,2.43,-1.43
0.06,0.2,1.0,0.21,2.37,-1.46
0.06,0.2,0.99,-0.02,2.3,-1.41
0.06,0.2,0.99,-0.07,2.17,-1.32
0.06,0.19,0.99,0.07,1.98,-1.17
0.06,0.19,0.99,0.07,1.98,-1.17
0.06,0.2,1.0,0.38,1.79,-1.0
0.06,0.2,1.0,0.81,1.63,-0.81
0.06,0.2,1.0,1.31,1.49,-0.62
0.06,0.2,1.0,1.86,1.42,-0.43
0.06,0.21,1.0,2.36,1.4,-0.24
0.06,0.21,1.0,2.36,1.4,-0.24
0.06,0.21,1.01,2.71,1.44,-0.07
0.06,0.22,1.01,2.86,1.47,0.09
0.05,0.22,1.0,2.79,1.5,0.18
0.05,0.22,1.0,2.53,1.49,0.22
0.05,0.21,1.0,2.11,1.41,0.22
0.05,0.21,1.0,2.11,1.41,0.22
0.05,0.21,1.0,1.55,1.27,0.21
0.06,0.2,1.0,0.92,1.08,0.17
0.06,0.19,1.0,0.33,0.88,0.13
0.06,0.19,0.99,-0.19,0.7,0.08
0.07,0.18,0.99,-0.58,0.61,0.03
0.07,0.18,0.99,-0.58,0.61,0.03
0.07,0.18,0.99,-0.77,0.6,-0.01
0.07,0.17,0.99,-0.72,0.66,-0.05
0.07,0.17,0.99,-0.46,0.79,-0.06
0.07,0.18,0.99,-0.03,0.93,-0.09
0.07,0.18,0.99,0.53,1.09,-0.17
0.07,0.18,0.99,0.53,1.09,-0.17
0.06,0.19,1.0,1.13,1.24,-0.27
0.06,0.2,1.0,1.69,1.39,-0.41
0.06,0.2,1.0,2.1,1.52,-0.57
0.06,0.21,1.01,2.3,1.65,-0.75
0.06,0.21,1.01,2.3,1.83,-0.93
0.06,0.21,1.01,2.3,1.83,-0.93
0.06,0.22,1.01,2.09,2.01,-1.08
0.06,0.21,1.01,1.76,2.14,-1.21
0.05,0.21,1.0,1.32,2.21,-1.3
0.05,0.21,1.0,0.82,2.21,-1.38
0.05,0.2,1.0,0.34,2.11,-1.46
0.05,0.2,1.0,0.34,2.11,-1.46
